launch_speed,launch_angle,estimated_ba_using_speedangle
81.9,0,0.194
79.7,44,0.011
96.7,10,0.7
79.6,2,0.231
103.3,-10,0.303
105.7,24,0.934
88.3,-1,0.257
70.7,3,0.126
103.1,31,0.723
88.6,76,0.009
103.5,-4,0.369
106.6,21,0.851
76.9,-38,0.094
72.1,48,0.171
88,9,0.529
76.2,-38,0.086
85,38,0.009
79.6,-3,0.126
90.5,4,0.389
102.7,-18,0.174
106,34,0.831
86.4,6,0.426
99.2,24,0.491
92.1,61,0.006
84.8,-13,0.071
77.3,1,0.171
96.6,-20,0.146
87,27,0.097
74,-6,0.094
102.9,31,0.723
77,16,0.829
85.9,74,0.001
89.3,-24,0.077
77,74,0.001
108.1,23,0.966
98.1,1,0.423
92.5,8,0.574
107.7,32,0.937
104,36,0.589
78.7,80,0.003
97.7,27,0.471
93.4,53,0.006
69.2,40,0.546
92.3,36,0.051
93.9,19,0.414
108.8,20,0.86
100.4,2,0.469
74.1,56,0.089
90.8,-18,0.123
76.4,36,0.1
100.8,48,0.02
68,24,0.96
104.5,32,0.869
107.7,14,0.783
68.7,-4,0.106
,,
,,
95.5,37,0.094
83.5,17,0.96
80.8,26,0.217
95.7,17,0.497
92,-9,0.197
96.3,36,0.143
78.2,46,0.051
84.5,28,0.077
70.4,28,0.963
88.8,-7,0.166
98,21,0.32
94.6,-17,0.143
54.6,-68,0.246
112.2,-2,0.437
79.4,27,0.257
32.9,-47,0.274
87.3,-9,0.154
110.1,22,0.974
90.1,2,0.289
98.2,14,0.903
93.6,29,0.134
97.6,24,0.417
84.4,-11,0.109
77,17,0.92
94.1,28,0.123
91.3,-7,0.186
65.9,-13,0.074
72.9,43,0.24
89.2,-36,0.06
99,-20,0.16
104.3,4,0.557
101.7,24,0.623
79.6,25,0.411
83.4,77,0.011
86.7,79,0.003
93.4,19,0.446
92.1,25,0.137
81.3,-10,0.083
101.9,23,0.583
90.7,33,0.043
68.4,-18,0.063
73.8,37,0.269
87.4,9,0.517
86.7,-1,0.26
100.2,20,0.38
86,-14,0.089
77.1,33,0.126
90.4,36,0.054
91.2,24,0.143
86.1,33,0.014
109.2,18,0.771
96.9,21,0.283
101.7,22,0.571
87.1,12,0.72
76.5,0,0.117
48.2,-16,0.131
71.6,-32,0.071
98.9,28,0.534
85,79,0.003
99.7,14,0.851
99.5,-11,0.274
78.2,40,0.051
87.5,25,0.137
67.6,-17,0.043
103.3,8,0.709
97.6,2,0.463
,,
82,-35,0.054
96.9,-4,0.277
93.9,47,0.001
102.3,31,0.683
72.3,-8,0.08
105.1,2,0.497
66.8,-18,0.049
86.9,-11,0.137
81.7,62,0.009
97.5,19,0.346
101.5,9,0.729
60.4,15,0.209
79.3,46,0.043
95.1,17,0.491
82,-34,0.051
91.4,10,0.643
103.7,22,0.76
75.2,73,0.001
101.1,-11,0.234
98.6,19,0.346
84.1,15,0.946
69.9,3,0.151
75.7,-11,0.074
89.5,49,0.009
108.4,10,0.851
98.8,15,0.766
